광역,군구, 총인구 , 총인구남 , 총인구여 , 내국인계 , 내국인남 , 내국인여 , 외국인계 , 외국인남 , 외국인여 
서울특별시,서울특별시," 9,472,127 "," 4,584,251 "," 4,887,876 "," 9,125,047 "," 4,421,687 "," 4,703,360 "," 347,080 "," 162,564 "," 184,516 "
서울특별시,종로구," 148,857 "," 71,367 "," 77,490 "," 137,913 "," 66,679 "," 71,234 "," 10,944 "," 4,688 "," 6,256 "
서울특별시,중구," 126,310 "," 60,657 "," 65,653 "," 114,942 "," 55,338 "," 59,604 "," 11,368 "," 5,319 "," 6,049 "
서울특별시,용산구," 221,688 "," 106,910 "," 114,778 "," 205,288 "," 98,233 "," 107,055 "," 16,400 "," 8,677 "," 7,723 "
서울특별시,성동구," 286,469 "," 139,181 "," 147,288 "," 276,273 "," 134,666 "," 141,607 "," 10,196 "," 4,515 "," 5,681 "
서울특별시,광진구," 347,099 "," 166,469 "," 180,630 "," 328,395 "," 158,337 "," 170,058 "," 18,704 "," 8,132 "," 10,572 "
서울특별시,동대문구," 348,201 "," 169,409 "," 178,792 "," 329,092 "," 161,761 "," 167,331 "," 19,109 "," 7,648 "," 11,461 "
서울특별시,중랑구," 380,307 "," 186,364 "," 193,943 "," 373,443 "," 183,625 "," 189,818 "," 6,864 "," 2,739 "," 4,125 "
서울특별시,성북구," 435,509 "," 207,428 "," 228,081 "," 422,428 "," 202,349 "," 220,079 "," 13,081 "," 5,079 "," 8,002 "
서울특별시,강북구," 292,611 "," 141,265 "," 151,346 "," 287,693 "," 139,416 "," 148,277 "," 4,918 "," 1,849 "," 3,069 "
서울특별시,도봉구," 309,200 "," 149,413 "," 159,787 "," 306,168 "," 148,314 "," 157,854 "," 3,032 "," 1,099 "," 1,933 "
서울특별시,노원구," 503,929 "," 242,171 "," 261,758 "," 498,257 "," 239,746 "," 258,511 "," 5,672 "," 2,425 "," 3,247 "
서울특별시,은평구," 457,385 "," 218,155 "," 239,230 "," 451,661 "," 215,799 "," 235,862 "," 5,724 "," 2,356 "," 3,368 "
서울특별시,서대문구," 314,547 "," 146,558 "," 167,989 "," 299,912 "," 141,184 "," 158,728 "," 14,635 "," 5,374 "," 9,261 "
서울특별시,마포구," 365,192 "," 170,867 "," 194,325 "," 352,832 "," 165,874 "," 186,958 "," 12,360 "," 4,993 "," 7,367 "
서울특별시,양천구," 433,373 "," 211,970 "," 221,403 "," 428,082 "," 209,715 "," 218,367 "," 5,291 "," 2,255 "," 3,036 "
서울특별시,강서구," 559,837 "," 268,530 "," 291,307 "," 551,470 "," 264,921 "," 286,549 "," 8,367 "," 3,609 "," 4,758 "
